query_id,query_text,y
543451,"weather in beaumont, california fahrenheit",1
1157822,what is a platelets,0
888849,what produces wind when it moves,0
269439,how long to cook beef fillet,0
350159,how to cite in mla in a paper,0
129677,define: perennial,0
620808,what direction do tornadoes move,0
984160,"where is harrisville, ms",1
903425,what the fastest animal in the world,0
1156045,what is cigarette tar called,0
1042090,who is the voice of howard's mom on big bang,0
891720,what rocks make up most of the earth's crust oceanic or continental,0
1065871,why do veins have valves,0
143586,did christopher columbus get to mainland of north america,0
232935,how far will a tsunami travel inland,0
511113,teaspoon equals how many ounces,0
805270,what is the area code for nutley nj,1
1058912,who wrote the equal rights amendment,0
757393,what is il. sales tax amount,1
753615,what is happening when you can see your breath in the air,0
1026894,who discovered dna first,0
268124,how long to bake chicken in oven,0
386923,how to write goal for handwriting,0
230567,how far is barcelona airport from cruise port,1
270580,how long to fly to new zealand,1
288394,how many meters in a baseball field,0
965004,where are bella products made,1
839713,what is the population for turkey,1
291505,how many pages are in sense and sensibility,0
815007,what is the definition of fungi,0
546130,weather in sydney australia in january,1
1023322,which xml to use vba,0
15682,allen tx is what county,1
1163782,what county is mar a lago in,1
284349,how many general orders are there in the army,0
162743,does alaska change to daylight savings time,1
296971,how many states voted to ratify the constitution,0
1002296,where was dwight d eisenhower born,1
40314,average pitching distances,0
850147,what is the temperature in Alaska in july,1
23447,are llc corporations,0
996677,where is the minecraft spawner in pc,0
1120426,what county is rock hill,1
945399,when do you renew your massachusetts driver's license,1
1003681,where was the film horns filmed,1
838156,what is the original name of egypt,0
884348,what parish is clinton louisiana in,1
297050,how many steps in the arc de triomphe,1
512252,temperature in new york city in july,1
178420,effective over the counter medication for anemic fatigue,0
958222,when was jackson mississippi founded,1
274464,how many african nations are there,1
486929,regulations for supplement added to coffee,0
888691,what process is responsible for continuous energy spectrum,0
936281,when can give infant baby water,0
1003174,where was pom klementieff born?abcdefghijzyxwvutsrqponmlk,1
359963,how to fix remote control batteries,0
516859,the lungs and trachea are part of what system,0
441246,listing property instead of name for tax arrears,0
975538,where in argentina are the andes mountains located,1
846078,what is the score of college world series,0
94743,color Nucleic acid,0
862735,what is when you have pain in your legs,0
521033,time in india currently,1
419704,is oceania a continent,1
1009626,which first class airline is best delta united or american,0
999239,"where is union, illinois located",1
788973,what is quebec called,1
1110605,what is the weather forecast for san diego,1
1022805,which volcanic eruption caused the most deaths,0
365002,how to indent paragraphs mla in word,0
89593,cell that produce bone are called,0
644752,what does opec mean,0
37342,average hourly rates in va,1
480111,price county population,1
589910,what causes mouth irritation,0
607578,what county is indiana pennsylvania in,1
935925,when are the peak seasons prices at disneyland,0
996864,where is the new yorker festival,1
265917,how long must you retain tax records,0
928099,what year was president nixon elected,0
107407,cost of taxi to airport,1
1029014,who invented the first battery,0
913395,what type of metal is tin,0
853551,what is the weather in kennebunkport maine,1
927124,what year did the statue of liberty become a monument,0
898535,what states make up the usa,1
570476,what are the highest mountains called,1
50777,benefits of fat loss,0
814410,what is the deepest water on earth,1
52115,"best thing to do in russian river, ca",1
1139005,who discovered the planets that go around the sun,0
626884,what do you need to send in to renew an expired passport,0
293815,how many pounds per ton,0
977093,where is area code,1
544085,weather in early myrtle beach,1
548364,were is puerto rico,1
1003960,where was the netflix show ozark filmed,1
859634,what is us family health care,0
939648,when did marijuana become legal,0
478686,positive can do attitude,0
667068,what happens when an atom loses energy,0
925454,what would cause the loss of hair,0
893409,what shapes landforms,0
612525,what county is seaside or,1
187937,flint is in what county,1
11594,adhd medications what class are they,0
502992,state license board number for contractors,0
793440,what is samoa,1
804675,what is the altitude for a combat jump,0
466415,number of adult cancer diagnosis,0
996652,where is the michigan nascar track,1
834336,what is the name for clay for roofs that is made out of something lighter,0
107151,cost of solar panels for your home,0
236644,how is exercise healthy,0
