query_id,query_text,y
1007707,which countries are considered Dutch,1
738529,what is density normally measured in,0
600913,what continent is the atlas mts in,1
825834,what is the income limit for a roth ira 2015,0
110078,cost to landscape,0
491052,safe harbor hours,1
421763,is prostate a gland,0
396724,insulin is classified by,0
194822,getting rid of mouse infestation,0
607882,what county is kansas city in kansas,1
1176128,how tall is a book,0
1011636,which is larger a kb or a mb,0
502909,startup cost for a doggy daycare,0
708709,what is africa's largest lake,1
890758,what region is nh in the usa,1
1002280,where was dr seuss born,1
663259,what gems are black,0
9344,a national weather forecast dealing with the weather in hawaii,1
81682,cancer that affects the brain and lung,0
322660,how much is nike stock,0
1175637,if between times function in excel,0
1099732,houston area,1
178079,education of qualification for vets,0
510291,taiga temperature and precipitation,1
803592,what is the  flower of montana,1
265930,how long must you wait to take the road driving test again in ca,1
890777,what region is peru located in,1
552870,what airport with iaw,1
607379,what county is hondo tx,1
595603,what cities are in lamar county ga,1
969850,where did the saying come from the starving  armens,0
780580,what is ottomans,1
902663,what term means front and above,0
323085,how much is the average cost for a Docor visit,0
911679,what type of doctor treats hernia,0
727039,what is calcium?,0
111616,cotc cost,0
854410,what is the wolves habitat,1
627102,what do you use protonix meds for,0
110852,cost to replace driveway,0
996443,where is the location for jamboree in the hills,1
581037,what can cause a rash,0
903303,what the cost to insurance a camper,0
543177,weather iceland,1
994631,where is the bermuda triangle located,1
345898,how to block a number on a z5,0
217826,how do i develop a program,0
622240,what do blackbirds eat in the wild,0
665039,what happened in the new kingdom,0
861660,what is voltage for dummies,0
280049,how many counties in pennsylvania,1
872823,what latitude is paris france,1
405506,is carisoprodol a narcotic,0
549175,what a html must have,0
603235,"what county is bloomfield, nj",1
993434,where is st. augustine florida located,1
505795,sustainability is defined as,0
1018859,which scan shows the metabolism in areas of the brain,0
661876,what foods should i eat if i get constipated,0
469115,ontario temperature,1
942500,when did the us take the texas territory,1
461830,name of the main river in london,1
612235,what county is saint paul va located in,1
232421,how far is the denver airport to colorado springs,1
595750,what city has the busiest train station,1
150430,different types of fire down system,0
333393,how old do you have to be to be in the house for legislative,0
990953,where is preacher being filmed,1
636581,what does economic transformation entail,0
493125,savannah tn population,1
367786,how to make a natural stone walkway,0
834668,what is the name of main protagonist,0
306996,how much do protons weight,0
548634,wet when does fall begin,0
1137873,who owns burger king in jamaica,1
1013685,what types of plants live in the mediterranean,1
995824,where is the grapevine in california,1
809959,what is the capital of germany,1
1176266,average temperature london may,1
466795,number of people killed in u.s. civil war,1
153979,distance philadelphia to minneapolis,1
822153,what is the french way to say name day,0
566832,what are temperatures in siberia russia in winter,1
264379,how long is raw pork good for in the fridge,0
153740,distance from vegas to zion,1
138611,definition of systematically,0
94792,color of the flag meaning,0
